address,price,list_fee,sold_date,sqm,rooms,elevator,patio,new_production,balcony,gardet,kungsholmen,norrmalm,ostermalm,sodermalm,vasastan,latitude,longitude,distance_to_central_station
Kungsklippan 12,3600000,2905.0,2023-04-11,36.0,2.0,1,0,0,1,0,1,0,0,0,0,59.33019580000001,18.0484427,0.8 km
Runiusgatan 5,8495000,4554.0,2023-04-11,107.0,4.0,1,0,0,1,0,1,0,0,0,0,59.32981210000001,18.0086768,3.5 km
Tomtebogatan 32,9150000,4606.0,2023-04-11,85.0,3.0,1,0,0,0,0,0,0,0,0,1,59.3418534,18.029545,2.2 km
Hagagatan 11,7000000,3268.0,2023-04-11,69.0,3.0,1,1,0,0,0,0,0,0,0,1,59.3447282,18.0518705,1.8 km
Tegelviksgatan 14,7725000,4748.0,2023-04-11,92.0,4.0,1,0,0,1,0,0,0,0,1,0,59.3115185,18.0984678,3.9 km
Skånegatan 57A,6400000,2431.0,2023-04-11,59.0,2.0,0,0,0,1,0,0,0,0,1,0,59.31248609999999,18.0787793,2.9 km
Robert Almströmsgatan 6,5975000,3780.0,2023-04-11,64.0,3.0,1,0,0,0,0,0,0,0,0,1,59.33878679999999,18.0337349,1.9 km
Grindsgatan 29,7300000,3880.0,2023-04-11,77.0,3.0,1,0,0,0,0,0,0,0,1,0,59.310051,18.0670581,2.9 km
Västmannagatan 30A,6350000,2912.0,2023-04-11,59.0,2.0,0,0,0,1,0,0,0,0,0,1,59.3390591,18.0510371,1.0 km
Erik Dahlbergsgatan 53,4500000,3144.0,2023-04-11,58.0,2.0,1,0,0,1,1,0,0,0,0,0,59.346208,18.0917468,2.8 km
Storgatan 30,5200000,1580.0,2023-04-11,40.0,1.0,1,0,0,1,0,0,0,1,0,0,59.3341714,18.0873012,2.0 km
Strandvägen 11,67000000,6409.0,2023-04-11,239.0,8.0,1,0,0,1,0,0,0,1,0,0,59.33191349999999,18.0816313,1.6 km
Melodislingan 50 - 4 tr!,4900000,3991.0,2023-04-10,41.0,2.0,1,0,0,1,0,0,0,1,0,0,59.3448921,18.0808878,2.2 km
Garvargatan 7,7650000,2866.0,2023-04-10,83.0,3.0,1,0,0,0,0,1,0,0,0,0,59.32797449999999,18.044676,1.2 km
Maria Bangata 2 B,5050000,2492.0,2023-04-10,46.0,2.5,0,0,0,0,0,0,0,0,1,0,59.3142974,18.0552172,2.8 km
John bergs plan 4,3600000,1618.0,2023-04-10,38.0,1.5,1,0,0,1,0,1,0,0,0,0,59.3363816,18.0230598,2.4 km
Lottens gata 6,4325000,2878.0,2023-04-10,45.0,2.0,1,0,0,1,0,0,0,0,1,0,59.3113038,18.0975469,4.0 km
Brännkyrkagatan 92A,3250000,2395.0,2023-04-10,34.0,1.5,0,0,0,0,0,0,0,0,1,0,59.3181535,18.0481447,2.8 km
Tegeluddsvägen 30,3195000,2566.0,2023-04-09,35.0,2.0,1,0,0,1,1,0,0,0,0,0,59.347702,18.1057749,3.9 km
Kungsbro Strand 21,3300000,3149.0,2023-04-08,34.0,1.0,1,0,0,1,0,1,0,0,0,0,59.3307648,18.050355,0.8 km
Drottningholmsvägen 52,5075000,2659.0,2023-04-08,58.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3320319,18.0221642,2.4 km
Skeppargatan 67,7650000,4567.0,2023-04-07,77.5,3.0,1,0,0,1,0,0,0,1,0,0,59.34190470000001,18.0888245,2.5 km
Nackagatan 21,6500000,5137.0,2023-04-07,91.0,3.0,1,0,0,1,0,0,0,0,1,0,59.3107334,18.0989379,4.0 km
Brantingsgatan 18,7750000,3811.0,2023-04-07,70.5,3.5,1,0,0,1,1,0,0,0,0,0,59.3464255,18.0941253,3.0 km
Värtavägen 59,2550000,1266.0,2023-04-07,24.0,1.0,0,0,0,1,1,0,0,0,0,0,59.34752450000001,18.1018719,3.7 km
Frejgatan 36A,4235000,2888.0,2023-04-07,38.0,2.0,1,0,0,1,0,0,0,0,0,1,59.3449011,18.0470879,1.7 km
Pontonjärgatan 45,6350000,4114.0,2023-04-07,64.0,2.0,1,0,0,0,0,1,0,0,0,0,59.32975029999999,18.0280063,2.3 km
Strindbergsgatan 50,5000000,2346.0,2023-04-07,54.0,2.0,1,0,0,0,0,0,0,1,0,0,59.3415623,18.0921932,2.8 km
Erstagatan 22,7440000,4367.0,2023-04-06,74.0,2.5,1,0,0,1,0,0,0,0,1,0,59.3143407,18.0899525,3.2 km
Heleneborgsgatan 7A,6250000,2872.0,2023-04-06,58.0,2.0,1,0,0,1,0,0,0,0,1,0,59.31916379999999,18.0381538,3.2 km
Rutger Fuchsgatan 8B,2950000,1877.0,2023-04-06,33.0,1.0,1,0,0,1,0,0,0,0,1,0,59.30700299999999,18.0781006,3.4 km
Ulriksborgsgatan 9,3520000,2319.0,2023-04-06,40.0,1.5,1,0,0,1,0,1,0,0,0,0,59.33456169999999,18.0177285,2.9 km
Bråvallagatan 10,7150000,2238.0,2023-04-06,67.0,3.0,0,0,0,1,0,0,0,0,0,1,59.3389068,18.0350842,1.8 km
Disponentgatan 1,2620000,2176.0,2023-04-06,30.0,1.0,1,0,0,0,0,1,0,0,0,0,59.3245311,18.0078838,3.8 km
Furusundsgatan 15,3550000,2361.0,2023-04-06,37.0,1.5,1,0,0,1,1,0,0,0,0,0,59.34680299999999,18.0992796,3.5 km
Artillerigatan 89,6210000,2548.0,2023-04-06,66.0,2.0,1,0,0,1,1,0,0,0,0,0,59.3426176,18.0879907,2.5 km
Upplandsgatan 85A,7000000,3309.0,2023-04-06,69.0,2.0,1,0,0,0,0,0,0,0,0,1,59.3458047,18.0451059,1.8 km
Magnus Ladulåsgatan 53,6050000,3650.0,2023-04-06,80.0,3.5,1,0,0,1,0,0,0,0,1,0,59.31251760000001,18.0652223,2.7 km
Olof Palmes gata 14,6850000,3544.0,2023-04-06,76.0,3.0,1,0,0,1,0,0,1,0,0,0,59.33617049999999,18.0606306,0.7 km
Ynglingagatan 19,11250000,4563.0,2023-04-06,100.0,4.0,1,0,0,1,0,0,0,0,0,1,59.34859609999999,18.0462906,2.2 km
Krukmakargatan 33B,7575000,3290.0,2023-04-06,77.0,3.0,1,0,0,1,0,0,0,0,1,0,59.3168665,18.0532079,2.6 km
Jaktvarvsplan 3,6060000,3427.0,2023-04-06,58.5,2.0,1,0,0,0,0,1,0,0,0,0,59.3292133,18.0349974,1.8 km
Borgmästargatan 4A,3400000,2096.0,2023-04-06,33.0,1.0,1,0,0,1,0,0,0,0,1,0,59.3152576,18.0858978,2.9 km
John Ericssonsgatan 7,8000000,4343.0,2023-04-06,84.0,3.5,1,0,0,1,0,1,0,0,0,0,59.32839250000001,18.0368411,1.7 km
