address,price,list_fee,sold_date,sqm,rooms,elevator,patio,new_production,balcony,gardet,kungsholmen,norrmalm,ostermalm,sodermalm,vasastan,latitude,longitude,distance_to_central_station
Folkungagatan 67,3260000,1110.0,2023-03-15,32.0,1.5,1,0,0,1,0,0,0,0,1,0,59.31493409999999,18.0777679,2.7 km
Roslagsgatan 49,3200000,1649.0,2023-03-15,29.5,1.0,1,0,0,0,0,0,0,0,0,1,59.35002369999999,18.0560032,2.6 km
Idungatan 5,4300000,2333.0,2023-03-15,45.0,2.0,1,0,0,0,0,0,0,0,0,1,59.3479627,18.0476316,2.2 km
Roslagsgatan 62,11350000,2954.0,2023-03-15,97.0,4.0,1,0,0,1,0,0,0,0,0,1,59.3506987,18.0559852,2.7 km
Tjurbergsgatan 38,3740000,2497.0,2023-03-15,41.5,1.5,1,0,0,0,0,0,0,0,1,0,59.3103978,18.0723972,2.8 km
Smedsbacksgatan 7,3700000,2301.0,2023-03-15,36.0,2.0,1,0,0,1,1,0,0,0,0,0,59.3479995,18.0987208,3.4 km
Styrmansgatan 17,27000000,4960.0,2023-03-15,183.0,5.0,0,0,0,0,0,0,0,1,0,0,59.3333208,18.0856966,1.8 km
Fridhemsgatan 10A,4400000,2600.0,2023-03-15,42.0,1.5,1,0,0,1,0,1,0,0,0,0,59.33048569999999,18.0275644,2.3 km
Tideliusgatan 33,7450000,2186.0,2023-03-15,80.0,4.0,1,0,0,1,0,0,0,0,1,0,59.31043549999999,18.0648226,3.0 km
Roslagsgatan 41,7325000,3735.0,2023-03-15,67.0,3.0,0,0,0,0,0,0,0,0,0,1,59.3490463,18.0571624,2.5 km
Sankt Göransgatan 153,2315000,1176.0,2023-03-15,22.5,1.0,1,0,0,0,0,1,0,0,0,0,59.3380237,18.0144012,3.0 km
Lodgatan 1,7495000,2860.0,2023-03-15,71.2,3.0,1,0,0,0,0,0,0,1,0,0,59.3420482,18.0657383,1.6 km
Alströmergatan 32L,4300000,2499.0,2023-03-15,45.0,2.0,0,0,0,0,0,1,0,0,0,0,59.3372385,18.0266434,2.4 km
Valhallavägen 129,3350000,838.0,2023-03-15,25.0,1.0,1,0,0,1,0,0,0,1,0,0,59.3421405,18.0864155,2.4 km
Tjärhovsgatan 22,2100000,2388.0,2023-03-15,19.0,1.0,1,0,0,0,0,0,0,0,1,0,59.3152705,18.0774699,2.6 km
Odengatan 2,11050000,4859.0,2023-03-15,93.0,3.0,1,0,0,1,0,0,0,1,0,0,59.3467338,18.065886,2.3 km
Heleneborgsgatan 7A,4140000,1940.0,2023-03-15,43.0,2.0,1,0,0,0,0,0,0,0,1,0,59.31916379999999,18.0381538,3.2 km
Ölandsgatan 44,4180000,2455.0,2023-03-15,43.0,2.0,1,0,0,0,0,0,0,0,1,0,59.3085513,18.0772041,3.1 km
Vitalisvägen 11,3670000,2126.0,2023-03-15,38.0,2.0,0,0,0,0,0,1,0,0,0,0,59.3300268,18.0058427,3.5 km
Nytorgsgatan 15A,5910000,3675.0,2023-03-15,56.0,2.5,1,0,0,1,0,0,0,0,1,0,59.3165872,18.0813528,2.5 km
Karlbergsvägen 72B,12050000,5113.0,2023-03-15,109.0,4.0,1,0,0,0,0,0,0,0,0,1,59.3429201,18.0302548,2.3 km
Södermannagatan 31,6275000,2250.0,2023-03-15,56.0,2.0,1,0,0,1,0,0,0,0,1,0,59.311686,18.0816277,3.1 km
Magnus Ladulåsgatan 7,4110000,2750.0,2023-03-15,52.0,2.5,1,0,0,0,0,0,0,0,1,0,59.3119391,18.0605455,2.9 km
Rålambsvägen 46,2850000,1820.0,2023-03-15,29.5,1.0,1,0,0,0,0,1,0,0,0,0,59.3299641,18.0045334,3.6 km
Blekingegatan 31 B,3930000,2262.0,2023-03-15,39.0,1.0,0,0,0,1,0,0,0,0,1,0,59.310274,18.0720585,2.9 km
Fatburs brunnsgata 16,9400000,4924.0,2023-03-15,105.0,4.0,1,0,0,1,0,0,0,0,1,0,59.31327580000001,18.064042,2.6 km
Sonja Kovalevskys Gata 3,12300000,5500.0,2023-03-15,111.0,4.0,1,0,0,1,0,0,0,0,0,1,59.3469013,18.034698,2.5 km
Rutger Fuchsgatan 8B,2800000,1031.0,2023-03-15,22.0,1.0,0,0,0,0,0,0,0,0,1,0,59.30700299999999,18.0781006,3.4 km
Emmy rappes gata 3,3500000,2200.0,2023-03-15,31.0,1.5,1,0,0,0,0,0,0,0,0,1,59.34836519999999,18.0332389,2.7 km
Hjalmar Söderbergs väg 10,4550000,3298.0,2023-03-14,53.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3324106,18.0063275,3.3 km
Högalidsgatan 13B,4450000,2150.0,2023-03-14,41.0,2.0,1,0,0,0,0,0,0,0,1,0,59.3179291,18.0329719,3.5 km
Artemisgatan 75,3490000,2272.0,2023-03-14,41.0,2.0,0,0,0,1,1,0,0,0,0,0,59.3565838,18.096007,4.3 km
Högalidsgatan 44B,6800000,3339.0,2023-03-14,57.0,2.0,1,0,0,0,0,0,0,0,1,0,59.3182127,18.0356919,3.4 km
Rindögatan 30,3700000,2581.0,2023-03-14,45.0,2.0,1,0,0,0,0,0,0,1,0,0,59.345586,18.0980498,3.3 km
Ulriksborgsgatan 16,6150000,3649.0,2023-03-14,77.5,3.0,1,0,0,0,0,1,0,0,0,0,59.333996,18.0177933,3.0 km
Ture Nermans gränd 2,3700000,777.0,2023-03-14,38.0,1.5,1,0,0,0,1,0,0,0,0,0,59.329563,18.0302878,2.1 km
Tegelviksgatan 18,3850000,2877.0,2023-03-14,45.0,2.0,1,0,0,1,0,0,0,0,1,0,59.31156319999999,18.0984812,3.9 km
Eyvind Johnsons Gata 7,7040000,4265.0,2023-03-14,92.0,3.5,1,0,0,1,0,1,0,0,0,0,59.3401194,18.0084048,3.4 km
Franzéngatan 74,8300000,4371.0,2023-03-14,92.0,3.0,1,0,0,1,0,1,0,0,0,0,59.33880689999999,18.0051314,3.6 km
Fatburstrappan 16,4300000,4256.0,2023-03-14,62.5,2.0,1,1,0,0,0,0,0,0,1,0,59.3152215,18.0696009,2.2 km
Roslagsgatan 33B,4650000,2436.0,2023-03-14,42.0,2.0,1,0,0,0,0,0,0,0,0,1,59.3484288,18.0577618,2.4 km
Hagaesplanaden 80,7800000,4776.0,2023-03-14,84.0,4.0,1,0,1,1,0,0,0,0,0,1,59.3486554,18.0368854,2.5 km
Sankt Eriksplan 5,10050000,3997.0,2023-03-14,95.0,3.5,1,0,0,1,0,0,0,0,0,1,59.33880920000001,18.0382982,1.6 km
Torsgatan 48 A,18000000,462.0,2023-03-14,159.0,4.5,1,0,0,1,0,0,0,0,0,1,59.34166669999999,18.0377137,1.8 km
Lustgårdsgatan 20,3950000,3423.0,2023-03-14,46.0,2.0,0,0,0,0,0,1,0,0,0,0,59.3371502,18.0122018,3.2 km
Torbjörn klockares gata 23,3875000,2353.0,2023-03-14,36.0,1.5,0,0,0,0,0,0,0,0,0,1,59.3453668,18.0359441,2.3 km
Valhallavägen 46,7025000,4142.0,2023-03-14,73.0,2.0,0,0,0,0,0,0,0,1,0,0,59.34765369999999,18.064271,2.4 km
Älvkarleövägen 8,3100000,3172.0,2023-03-14,44.2,2.0,0,0,0,0,1,0,0,0,0,0,59.35402999999999,18.0959382,4.1 km
Folkungagatan 136A,3350000,1683.0,2023-03-14,31.0,1.0,1,0,0,0,0,0,0,0,1,0,59.3154233,18.0889842,3.0 km
Västmannagatan 13,4700000,3386.0,2023-03-14,35.0,2.0,1,0,0,0,0,0,0,0,0,1,59.33700409999999,18.0519866,0.7 km
Magnus Ladulåsgatan 11,6550000,3861.0,2023-03-14,73.0,3.0,1,0,0,1,0,0,0,0,1,0,59.3119897,18.0610387,2.9 km
Ernst Ahlgrens väg 3,3300000,1939.0,2023-03-14,34.0,2.0,0,0,0,0,0,1,0,0,0,0,59.3308262,18.0048693,3.5 km
Norrbackagatan 26A,7000000,3242.0,2023-03-14,66.0,2.0,1,0,0,1,0,0,0,0,0,1,59.33993629999999,18.0305168,2.1 km
Ängskärsgatan 4,6850000,3493.0,2023-03-14,74.0,3.0,1,0,0,1,0,0,0,1,0,0,59.3427058,18.0967101,3.1 km
Ninni kronbergs gata 16,4350000,3555.0,2023-03-14,46.0,2.0,1,0,0,1,0,0,0,0,0,1,59.3487569,18.0347534,2.8 km
Valhallavägen 22A,3530000,2329.0,2023-03-14,36.0,2.0,1,0,0,0,0,0,0,1,0,0,59.3482578,18.0628926,2.5 km
Kungsholmsgatan 42,5400000,1990.0,2023-03-14,51.0,2.0,0,0,0,0,0,1,0,0,0,0,59.3321838,18.0403507,1.3 km
Smedsbacksgatan 1,3950000,2190.0,2023-03-14,38.0,2.0,1,0,0,1,1,0,0,0,0,0,59.3466171,18.0999424,3.5 km
Sveavägen 97 2,3185000,1512.0,2023-03-14,27.0,1.0,1,0,0,0,0,0,0,0,0,1,59.34572079999999,18.0527355,1.9 km
Brahegatan 37,8575000,1016.0,2023-03-14,59.0,2.0,1,0,0,1,0,0,0,1,0,0,59.3413383,18.0784963,1.9 km
Åsögatan 163,4025000,1184.0,2023-03-14,36.0,1.0,1,0,0,1,0,0,0,0,1,0,59.31445280000001,18.084912,2.9 km
Baltzar von Platens Gata 7 C,5675000,1037.0,2023-03-14,51.0,2.0,1,0,0,0,0,1,0,0,0,0,59.3296733,18.0313793,2.1 km
Atlasgatan 6,11900000,3896.0,2023-03-14,106.0,4.0,0,1,0,1,0,0,0,0,0,1,59.33826999999999,18.0393061,1.5 km
Kungsklippan 11,3920000,3438.0,2023-03-14,45.0,2.0,1,0,0,0,0,1,0,0,0,0,59.3305208,18.0469889,0.9 km
Strindbergsgatan 51,6725000,2770.0,2023-03-14,60.0,3.0,1,0,0,1,1,0,0,0,0,0,59.3413289,18.0952275,3.0 km
Långholmsgatan 18,4610000,2465.0,2023-03-14,43.0,2.0,1,0,0,0,0,0,0,0,1,0,59.3174663,18.0325392,3.6 km
Östgötagatan 19,9450000,5392.0,2023-03-14,82.0,3.0,0,0,0,1,0,0,0,0,1,0,59.31630209999999,18.0757966,2.4 km
Karlavägen 46A,3950000,1341.0,2023-03-14,25.0,1.0,0,0,0,1,0,0,0,1,0,0,59.3395683,18.0798709,1.7 km
Jungfrugatan 19,5200000,1468.0,2023-03-14,44.0,2.0,1,0,0,0,0,0,0,1,0,0,59.33767709999999,18.0823663,1.8 km
Rålambsvägen 16A,6590000,4394.0,2023-03-14,77.5,3.0,1,0,0,1,0,1,0,0,0,0,59.32876590000001,18.0161342,3.0 km
Värtavägen 16,23000000,5334.0,2023-03-14,130.0,4.0,1,0,0,1,0,0,0,1,0,0,59.3392392,18.0936412,2.6 km
Åsögatan 164,6630000,3008.0,2023-03-14,68.0,3.0,1,0,0,1,0,0,0,0,1,0,59.31410760000001,18.0837459,2.9 km
Östermalmsgatan 57,7425000,2834.0,2023-03-14,64.0,3.0,1,0,0,1,0,0,0,1,0,0,59.3418736,18.0783309,1.9 km
Surbrunnsgatan 7,10500000,3664.0,2023-03-14,107.0,3.0,1,1,0,0,0,0,0,1,0,0,59.34693910000001,18.064061,2.3 km
Regeringsgatan 70C,6450000,2853.0,2023-03-13,70.0,2.5,1,0,0,1,0,0,0,1,0,0,59.33683199999999,18.0686438,1.0 km
Rindögatan 4,2660000,1700.0,2023-03-13,22.0,1.5,1,0,0,1,0,0,0,1,0,0,59.3475786,18.0940937,3.2 km
Sysslomansgatan 8,4140000,1920.0,2023-03-13,38.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3313303,18.0263937,2.3 km
Gruvbacken 4,4350000,2631.0,2023-03-13,47.0,1.5,1,0,0,1,0,0,0,0,1,0,59.31377430000001,18.0956128,3.6 km
Valhallavägen 65,4460000,2833.0,2023-03-13,46.0,1.5,1,0,0,1,0,0,0,1,0,0,59.34666679999999,18.0690526,2.4 km
Essingetorget 37,6500000,4277.0,2023-03-13,92.0,3.0,0,0,0,1,0,1,0,0,0,0,59.3203735,17.9886688,5.1 km
Sysslomansgatan 24,2800000,1230.0,2023-03-13,24.0,1.0,1,0,0,1,0,1,0,0,0,0,59.3308815,18.0241341,2.4 km
Lustgårdsgatan 4,6550000,4324.0,2023-03-13,84.0,3.0,1,0,0,1,0,1,0,0,0,0,59.3360444,18.013652,3.1 km
Falugatan 19,6025000,2888.0,2023-03-13,62.0,2.0,0,0,0,0,0,0,0,0,0,1,59.34454919999999,18.0358796,2.2 km
Blekingegatan 16,3900000,2357.0,2023-03-13,45.0,2.0,1,0,0,0,0,0,0,0,1,0,59.3093381,18.0666826,3.0 km
Ludvigsbergsgatan 13,9300000,3496.0,2023-03-13,81.0,3.0,1,0,0,1,0,0,0,0,1,0,59.3196436,18.0554604,2.3 km
Linnégatan 94,4980000,2520.0,2023-03-13,40.0,2.0,1,0,0,0,0,0,0,1,0,0,59.3336738,18.0968593,2.6 km
Ingemarsgatan 7,4550000,2175.0,2023-03-13,35.0,2.0,0,0,0,1,0,0,0,0,0,1,59.3490777,18.0568854,2.5 km
Odengatan 62A,4200000,568.0,2023-03-13,33.0,1.0,0,0,0,1,0,0,0,0,0,1,59.34352500000001,18.0518915,1.6 km
Danderydsgatan 30,16200000,4184.0,2023-03-13,113.0,4.0,1,0,0,1,0,0,0,1,0,0,59.3447749,18.0713904,2.0 km
Hälsingegatan 61,5150000,2501.0,2023-03-13,52.0,1.5,1,0,0,1,0,0,0,0,0,1,59.34829649999999,18.0363521,2.5 km
Linnégatan 39A,9450000,3283.0,2023-03-13,65.0,4.0,0,0,0,0,0,0,0,1,0,0,59.3366832,18.0833282,1.8 km
Smedsbacksgatan 3B,4900000,3211.0,2023-03-12,55.0,3.0,1,0,0,1,0,0,0,1,0,0,59.34724749999999,18.099804,3.7 km
Lilla Erstagatan 6,19700000,8490.0,2023-03-12,191.0,6.5,1,0,0,1,0,0,0,0,1,0,59.3164711,18.0881214,2.9 km
Franzéngatan 52,6995000,3582.0,2023-03-12,79.0,3.0,1,0,0,1,0,1,0,0,0,0,59.3396483,18.0068445,3.5 km
Rindögatan 40,3500000,2739.0,2023-03-12,43.0,2.0,1,0,0,0,1,0,0,0,0,0,59.3451028,18.1001073,3.5 km
Fridhemsgatan 64A (över gården),4900000,3065.0,2023-03-12,48.7,2.0,1,0,0,0,0,1,0,0,0,0,59.33607600000001,18.0325278,2.0 km
Hallandsgatan 32,6050000,3468.0,2023-03-12,66.0,2.0,1,0,0,0,0,0,0,0,1,0,59.3104969,18.068838,3.0 km
Skeppargatan 94,10100000,3241.0,2023-03-12,86.0,3.0,1,0,0,1,1,0,0,0,0,0,59.34192289999999,18.0898691,2.6 km
Furusundsgatan 11,3270000,2355.0,2023-03-11,34.0,2.0,1,0,0,1,0,0,0,1,0,0,59.34726389999999,18.0980116,3.5 km
Nybrogatan 70,3975000,1388.0,2023-03-11,30.0,2.0,1,0,0,0,0,0,0,1,0,0,59.34160319999999,18.0830111,2.1 km
Fridhemsgatan 13,2980000,1443.0,2023-03-11,26.0,1.5,1,0,0,1,0,1,0,0,0,0,59.33128370000001,18.027318,2.2 km
John Ericssonsgatan 11B,7500000,4236.0,2023-03-11,73.0,3.0,1,0,0,1,1,0,0,0,0,0,59.329004,18.037399,1.6 km
Kellgrensgatan 16,4700000,3476.0,2023-03-11,62.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3360444,18.014219,3.0 km
Västmannagatan 18,5100000,2710.0,2023-03-11,45.0,2.0,1,0,0,0,0,0,0,0,0,1,59.3377989,18.0518301,0.8 km
Pontonjärgatan 34,6350000,2989.0,2023-03-11,61.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3298936,18.0287196,2.2 km
Sibyllegatan 9A,7500000,2536.0,2023-03-11,57.0,2.0,0,0,0,1,0,0,0,1,0,0,59.33458599999999,18.0783216,1.4 km
Sankt Eriksgatan 10,4350000,1455.0,2023-03-10,45.0,2.0,0,0,0,0,0,1,0,0,0,0,59.3298515,18.0300411,2.1 km
Roslagsgatan 29,5700000,3845.0,2023-03-10,58.0,2.5,1,0,0,1,0,0,0,0,0,1,59.3480461,18.0581471,2.3 km
Döbelnsgatan 60,5500000,2596.0,2023-03-10,58.0,2.0,1,0,0,0,0,0,0,0,0,1,59.346523,18.0562677,2.1 km
Vanadisvägen 7B ,5500000,2720.0,2023-03-10,60.0,2.0,1,0,0,0,0,0,0,0,0,1,59.3474201,18.0502756,2.1 km
Västgötagatan 17,7100000,3065.0,2023-03-10,86.0,3.0,1,1,0,0,0,0,0,0,1,0,59.3138204,18.0688785,2.4 km
Svedbergsplan 5,3460000,2154.0,2023-03-10,42.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3276065,18.0121778,3.4 km
Sigtunagatan 11,6270000,3490.0,2023-03-10,57.0,2.0,1,0,0,0,0,0,0,0,0,1,59.34171120000001,18.0410966,1.7 km
Tegnérgatan 36,7100000,3112.0,2023-03-10,60.0,2.0,1,0,0,0,0,0,0,0,0,1,59.33781529999999,18.0527744,0.8 km
Fatburs Brunnsgata 32,7250000,4108.0,2023-03-10,81.0,4.0,1,0,0,1,0,0,0,0,1,0,59.31356539999999,18.0668241,2.4 km
Rådmansgatan 74,9800000,2970.0,2023-03-10,91.0,3.0,1,0,0,1,0,0,0,0,0,1,59.3390712,18.05306,0.9 km
Lottens Gata 8,3990000,2878.0,2023-03-10,46.0,2.0,1,0,0,1,0,0,0,0,1,0,59.3114447,18.0975968,3.9 km
Magnus Ladulåsgatan 7,9750000,6491.0,2023-03-10,135.0,5.0,1,0,0,1,0,0,0,0,1,0,59.3119391,18.0605455,2.9 km
Dalagatan 70A,4600000,1479.0,2023-03-10,32.0,1.5,0,0,0,1,0,0,0,0,0,1,59.34440169999999,18.043751,1.8 km
Kungsklippan 11,2460000,2263.0,2023-03-10,24.0,1.0,1,0,0,0,0,1,0,0,0,0,59.3305208,18.0469889,0.9 km
Surbrunnsgatan 16,7050000,3289.0,2023-03-10,66.0,3.0,1,0,0,0,0,0,0,0,0,1,59.346743,18.0621907,2.2 km
Ruddammsbacken 28,8500000,6632.0,2023-03-10,106.0,4.0,1,1,0,1,0,0,0,1,0,0,59.3514853,18.0594288,2.9 km
Långholmsgatan 9D,3950000,2589.0,2023-03-10,36.0,2.0,1,0,0,1,0,0,0,0,1,0,59.3173184,18.0333076,3.6 km
Roslagsgatan 41,3600000,2042.0,2023-03-10,32.0,2.0,0,0,0,0,0,0,0,0,0,1,59.3490463,18.0571624,2.5 km
Torsplan 10,10495000,5379.0,2023-03-10,95.0,3.5,1,0,0,1,0,0,0,0,0,1,59.34574620000001,18.0334033,2.3 km
Sehlstedtsgatan 7,3890000,2150.0,2023-03-10,43.0,2.0,0,0,0,0,1,0,0,0,0,0,59.3427303,18.1117821,4.0 km
Luxgatan 25,4385000,5182.0,2023-03-10,62.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3234738,18.0048477,3.9 km
Flintbacken 18,6450000,4012.0,2023-03-10,77.5,3.0,1,0,0,1,0,0,0,0,1,0,59.3096855,18.0494057,3.7 km
Götgatan 101,3500000,1978.0,2023-03-10,38.0,1.5,1,0,0,0,0,0,0,0,1,0,59.30731340000001,18.0772245,3.2 km
Östermalmsgatan 16,20250000,7116.0,2023-03-10,139.0,5.0,0,0,0,1,0,0,0,1,0,0,59.34498659999999,18.0671598,2.1 km
Östermalmsgatan 49,4200000,2010.0,2023-03-10,31.0,1.0,0,0,0,0,0,0,0,1,0,0,59.3423046,18.0764006,1.9 km
Parkgatan 12 A,4250000,1615.0,2023-03-10,37.0,2.0,0,0,0,1,0,1,0,0,0,0,59.333529,18.0362517,1.6 km
Roslagsgatan 58B,5950000,3532.0,2023-03-10,57.0,2.0,0,0,0,1,0,0,0,0,0,1,59.3504777,18.0565036,2.6 km
Odengatan 71,7020000,4150.0,2023-03-09,70.0,3.0,1,0,0,1,0,0,0,0,0,1,59.34253169999999,18.0508537,1.4 km
Södermannagatan 21,4050000,1975.0,2023-03-09,35.0,2.0,1,0,0,1,0,0,0,0,1,0,59.3127858,18.0810778,2.9 km
Essinge brogata 10,4500000,4181.0,2023-03-09,67.0,2.5,1,0,0,0,0,1,0,0,0,0,59.3251095,18.0066754,3.7 km
Fleminggatan 91,5900000,3115.0,2023-03-09,61.0,3.0,1,0,0,0,0,1,0,0,0,0,59.3346169,18.0303952,1.8 km
Wargentinsgatan 7,4150000,2291.0,2023-03-09,40.0,2.0,1,0,0,0,0,1,0,0,0,0,59.3327824,18.0406854,1.3 km
Hornsgatan 141A,8330000,3838.0,2023-03-09,86.0,3.0,1,0,0,1,0,0,0,0,1,0,59.3147379,18.0351113,3.6 km
Tulegatan 42,4650000,2487.0,2023-03-09,49.0,2.0,1,0,0,1,0,0,0,0,0,1,59.3477457,18.0569602,2.3 km
Orvar Odds Väg 2,3150000,2215.0,2023-03-09,34.0,2.0,1,0,0,0,0,1,0,0,0,0,59.32977469999999,17.9997789,4.0 km
Sandelsgatan 40,4300000,2351.0,2023-03-09,43.0,2.0,1,0,0,1,1,0,0,0,0,0,59.34354270000001,18.093467,3.0 km
Gjörwellsgatan 15,4995000,4931.0,2023-03-09,76.9,3.0,1,0,0,1,0,1,0,0,0,0,59.3289377,18.0193511,2.9 km
Skeppargatan 83,4530000,2483.0,2023-03-09,42.0,2.0,1,0,0,1,1,0,0,0,0,0,59.3433098,18.0904708,2.7 km
Garvargatan 17,11630000,3665.0,2023-03-09,99.0,4.0,0,0,0,0,0,1,0,0,0,0,59.3278771,18.04146,1.5 km
Västmannagatan 71 D,5500000,2396.0,2023-03-09,47.0,2.0,0,0,0,1,0,0,0,0,0,1,59.3434697,18.0446341,1.6 km
Tomtebogatan 18,7325000,3816.0,2023-03-09,68.0,2.0,1,0,0,0,0,0,0,0,0,1,59.3414642,18.0328755,2.1 km
Roslagsgatan 54,10725000,4814.0,2023-03-09,92.0,3.0,1,0,0,1,0,0,0,0,0,1,59.3500197,18.056634,2.6 km
Riddargatan 36A,8650000,1643.0,2023-03-09,72.0,2.0,0,0,0,1,0,0,0,1,0,0,59.3329995,18.0826585,1.6 km
Ringvägen 8,13500000,5343.0,2023-03-09,152.0,5.0,0,0,0,0,0,0,0,0,1,0,59.3176943,18.0499836,2.7 km
Kampementsgatan 8,6900000,4472.0,2023-03-09,87.2,3.0,1,0,0,1,1,0,0,0,0,0,59.34538260000001,18.1025292,3.5 km
Essingestråket 32,2550000,1841.0,2023-03-09,32.0,1.5,0,1,0,0,0,1,0,0,0,0,59.3208951,17.9844525,5.3 km
Ångströmsgatan 9,9000000,4998.0,2023-03-09,92.0,4.0,1,0,0,1,0,1,0,0,0,0,59.33575750000001,18.0385743,1.6 km
Kammakargatan 50,5450000,5514.0,2023-03-09,69.0,3.0,1,0,0,0,0,0,0,0,0,1,59.3375204,18.0554492,0.8 km
Tjärhovsgatan 8A,4700000,1307.0,2023-03-09,48.0,2.0,0,0,0,1,0,0,0,0,1,0,59.3149243,18.0747833,2.4 km
Sankt Paulsgatan 9,10350000,7272.0,2023-03-09,128.5,5.0,1,0,0,1,0,0,0,0,1,0,59.3182549,18.069207,1.9 km
Västmannagatan 77,8215000,3195.0,2023-03-08,68.0,3.0,1,0,0,1,0,0,0,0,0,1,59.34439629999999,18.0447096,1.7 km
Norrtullsgatan 19,7950000,0.0,2023-03-08,60.0,2.0,0,0,0,1,0,0,0,0,0,1,59.3432834,18.0504343,1.5 km
Älvsborgsgatan 3,3495000,2698.0,2023-01-09,36.0,2.0,1,0,0,0,0,0,0,0,1,0,59.309163,18.0734252,3.1 km
Älvsborgsgatan 3A,11000000,5691.0,2023-01-09,106.0,4.0,1,0,0,1,0,0,0,0,1,0,59.30922769999999,18.0734467,3.1 km
John Ericssonsgatan 18,2815000,1013.0,2023-01-07,24.0,1.0,1,0,0,1,0,1,0,0,0,0,59.32949529999999,18.0382068,1.5 km
Torsgatan 70,3800000,2210.0,2023-01-06,31.0,2.0,1,0,0,0,0,0,0,0,0,1,59.34460069999999,18.0351937,2.2 km
Frejgatan 33,8700000,4758.0,2023-01-06,98.0,4.0,1,0,0,1,0,0,0,0,0,1,59.3468848,18.0558523,2.1 km
Tjustgatan 3,3480000,2385.0,2023-01-06,37.0,1.5,1,0,0,1,0,0,0,0,1,0,59.31215160000001,18.0707427,2.7 km
Fatburstrappan 14,4650000,4256.0,2023-01-06,62.5,2.0,1,0,0,1,0,0,0,0,1,0,59.3152488,18.0700162,2.2 km
Rutger Fuchsgatan 2,3000000,1292.0,2023-01-05,30.0,1.0,1,0,0,0,0,0,0,0,1,0,59.30763339999999,18.0786855,3.3 km
Sankt Göransgatan 152,4270000,3154.0,2023-01-05,59.0,2.0,1,0,0,1,0,1,0,0,0,0,59.33802529999999,18.015274,2.9 km
Lindhagensgatan 104B,4400000,3355.0,2023-01-05,63.0,3.0,1,0,0,1,0,1,0,0,0,0,59.33579770000001,18.013157,3.1 km
Artillerigatan 75,4400000,1684.0,2023-01-05,37.0,1.0,1,0,0,0,0,0,0,1,0,0,59.34072320000001,18.0858904,2.3 km
Tullgårdsgatan 14,4660000,3230.0,2023-01-05,55.0,2.0,1,1,0,0,0,0,0,0,1,0,59.3059982,18.0867268,3.8 km
Frejgatan 46B,6720000,2474.0,2023-01-04,64.0,2.5,1,1,0,1,0,0,0,0,0,1,59.34421880000001,18.0444427,1.7 km
Slipgatan 5,3250000,1838.0,2023-01-03,35.0,1.0,1,0,0,1,0,0,0,0,1,0,59.31777619999999,18.0276797,3.9 km
Roslagsgatan 35A,3515000,1920.0,2023-01-03,39.0,1.0,1,0,0,0,0,0,0,0,0,1,59.3484869,18.057186,2.4 km
Tjärhovsgatan 22,2070000,1810.0,2023-01-02,18.0,1.0,1,0,0,0,0,0,0,0,1,0,59.3152705,18.0774699,2.6 km
Lidnersgatan 12B,3200000,3115.0,2023-01-02,39.5,2.0,1,0,0,0,0,1,0,0,0,0,59.33560769999999,17.9995853,4.0 km
Eriksbergsgatan 42,13900000,3547.0,2023-01-02,100.0,3.0,1,0,0,0,0,0,0,1,0,0,59.3418962,18.0659876,1.6 km
Torsplan 8,6350000,4260.0,2023-01-02,60.0,2.0,1,0,0,1,0,0,0,0,0,1,59.3459448,18.0339937,2.3 km
Torsplan 10,13500000,5287.0,2023-01-01,93.0,4.0,1,0,0,1,0,0,0,0,0,1,59.34574620000001,18.0334033,2.3 km
Östermalmsgatan 32,6000000,3355.0,2022-12-30,53.0,2.0,1,0,0,0,0,0,0,1,0,0,59.343242,18.0710628,1.9 km
Drakenbergsgatan 8,6500000,3533.0,2022-12-30,85.0,3.0,1,0,0,1,0,0,0,0,1,0,59.31604050000001,18.0420206,3.2 km
Lindhagensterrassen 19,3350000,1843.0,2022-12-30,39.0,1.0,1,0,0,1,0,1,0,0,0,0,59.3350278,18.0155508,3.0 km
Döbelnsgatan 89,4400000,967.0,2022-12-29,39.0,2.0,1,0,0,0,0,0,0,0,0,1,59.3460875,18.0559062,2.1 km
Lustgårdsgatan 14,3750000,2287.0,2022-12-29,46.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3367707,18.0128276,3.1 km
Katarina bangata 49,4700000,3124.0,2022-12-29,57.0,2.0,1,0,0,0,0,0,0,0,1,0,59.31022470000001,18.0853266,3.4 km
Tegelviksgatan 14,7800000,4101.0,2022-12-29,76.0,3.0,1,0,1,1,0,0,0,0,1,0,59.3115185,18.0984678,3.9 km
Krukmakargatan 61,5400000,2975.0,2022-12-28,49.0,2.0,0,0,0,1,0,0,0,0,1,0,59.3157911,18.0453225,3.0 km
Sonja Kovalevskys Gata 3,5350000,2800.0,2022-12-28,56.0,2.0,1,0,0,1,0,0,0,0,0,1,59.3469013,18.034698,2.5 km
